pdb_id,cluster,n_ligands,best_refinement,path,representative
7axb,1,1,refinement_1,data/rerefined/pxr_rerefined_structures/7axb/7axb.pdb,False
7axc,4,1,refinement_1,data/rerefined/pxr_rerefined_structures/7axc/7axc.pdb,False
7axd,4,1,refinement_1,data/rerefined/pxr_rerefined_structures/7axd/7axd.pdb,False
7axe,1,1,refinement_1,data/rerefined/pxr_rerefined_structures/7axe/7axe.pdb,False
7axf,4,1,refinement_1,data/rerefined/pxr_rerefined_structures/7axf/7axf.pdb,False
7axg,1,1,unrefined,data/rerefined/pxr_rerefined_structures/7axg/7axg.pdb,False
7axh,4,1,refinement_1,data/rerefined/pxr_rerefined_structures/7axh/7axh.pdb,False
7axi,4,2,unrefined,data/rerefined/pxr_rerefined_structures/7axi/7axi.pdb,False
7axj,1,2,unrefined,data/rerefined/pxr_rerefined_structures/7axj/7axj.pdb,False
7axk,1,2,unrefined,data/rerefined/pxr_rerefined_structures/7axk/7axk.pdb,False
7axl,1,2,unrefined,data/rerefined/pxr_rerefined_structures/7axl/7axl.pdb,False
7n2a,1,1,refinement_1,data/rerefined/pxr_rerefined_structures/7n2a/7n2a.pdb,False
7rio,1,1,refinement_1,data/rerefined/pxr_rerefined_structures/7rio/7rio.pdb,False
7riu,1,1,unrefined,data/rerefined/pxr_rerefined_structures/7riu/7riu.pdb,True
7riv,1,1,refinement_1,data/rerefined/pxr_rerefined_structures/7riv/7riv.pdb,False
7yfk,3,1,unrefined,data/rerefined/pxr_rerefined_structures/7yfk/7yfk.pdb,False
8cct,1,1,refinement_2,data/rerefined/pxr_rerefined_structures/8cct/8cct.pdb,False
8cf9,1,1,refinement_2,data/rerefined/pxr_rerefined_structures/8cf9/8cf9.pdb,False
8ch8,1,1,unrefined,data/rerefined/pxr_rerefined_structures/8ch8/8ch8.pdb,False
8e3n,1,1,refinement_2,data/rerefined/pxr_rerefined_structures/8e3n/8e3n.pdb,False
8eqz,2,1,refinement_1,data/rerefined/pxr_rerefined_structures/8eqz/8eqz.pdb,False
8f5y,2,1,unrefined,data/rerefined/pxr_rerefined_structures/8f5y/8f5y.pdb,False
8fpe,1,1,unrefined,data/rerefined/pxr_rerefined_structures/8fpe/8fpe.pdb,False
8r00,1,1,unrefined,data/rerefined/pxr_rerefined_structures/8r00/8r00.pdb,False
8r81,1,1,refinement_1,data/rerefined/pxr_rerefined_structures/8r81/8r81.pdb,False
8r82,4,1,refinement_1,data/rerefined/pxr_rerefined_structures/8r82/8r82.pdb,False
8svo,0,1,refinement_1,data/rerefined/pxr_rerefined_structures/8svo/8svo.pdb,False
8svp,5,2,refinement_2,data/rerefined/pxr_rerefined_structures/8svp/8svp.pdb,True
8svq,0,1,refinement_2,data/rerefined/pxr_rerefined_structures/8svq/8svq.pdb,False
8svr,0,1,refinement_1,data/rerefined/pxr_rerefined_structures/8svr/8svr.pdb,True
8svs,5,1,refinement_2,data/rerefined/pxr_rerefined_structures/8svs/8svs.pdb,False
8svt,0,1,refinement_1,data/rerefined/pxr_rerefined_structures/8svt/8svt.pdb,False
8svx,0,1,refinement_1,data/rerefined/pxr_rerefined_structures/8svx/8svx.pdb,False
8szv,1,1,unrefined,data/rerefined/pxr_rerefined_structures/8szv/8szv.pdb,False
9beq,1,1,unrefined,data/rerefined/pxr_rerefined_structures/9beq/9beq.pdb,False
9fzg,4,1,unrefined,data/rerefined/pxr_rerefined_structures/9fzg/9fzg.cif,False
9fzh,1,1,unrefined,data/rerefined/pxr_rerefined_structures/9fzh/9fzh.cif,False
9fzi,2,1,refinement_1,data/rerefined/pxr_rerefined_structures/9fzi/9fzi.pdb,False
9fzj,1,1,refinement_1,data/rerefined/pxr_rerefined_structures/9fzj/9fzj.pdb,False
